方言,日本語
こでらんねえ,堪らない
ことこんべ,おたまじゃくし
ことこんぽ,おたまじゃくし
こねくる,いじくる
こねぐる,いじくる
こびる,焦げる
こぴとわりい,人が悪い//意地悪い
こまっけ,細かい
こまっけー,細かい
こまっちゃぐれ,大人びた子供//小賢しい//小生意気
こむ,取り込む//しまう
こむき,ムキになる
こむぎ,ムキになる
ころばし,回覧板
ころばる,転ぶ
こわい,とても疲れた//硬い
こわえ,疲れた
こわす,お金を両替する
こわめし,おこわ
コンクリ,コンクリート
こんだ,今度
こんてら,この人たち
ごーせに,豪勢に
御祝儀,結婚式
ごじゃっぺ,いい加減//ばか//どじ//間抜け
ごじゃ,いい加減//ばか//どじ//間抜け
ごじゃらっぺ,いい加減//ばか//どじ//間抜け
ごっこごっこ,メラメラ
ごっごど,たくさん//がつがつと//急いで//さっさと//激しく
ゴドゴドごいす,つくつくぼうし
ごんごう,五合
さある,さわる
さいな,さよなら
さいなする,さよならする
さかってる,賑わっている//人が集まっている
さがんぼ,つらら
さぎおどで,三日前//さきおととい
さぎっちょ,先端
さぎっぽ,先端
さぐい,気さく//遠慮ない
さごい,気さく//遠慮ない
さぐぐ,気さくに//遠慮なく
さし,神社の寄付金
さっつぇーなし,おっちょこちょい
さぶろ,シャベル//スコップ
寒さ坊様,鳥肌
寒さ坊主,鳥肌
さやっぽ,でしゃばり//おせっかい
さらける,転ぶ
三月豆,さやえんどう
さど豆,さやえんどう
さんざっぱら,さんざん
さんぴき,三匹
在,町外れ//田舎を指す
ざくまた,（木の枝などの）二股になっている所
ざざえび,テナガエビの稚魚
ざっこ,小魚//雑魚
ざぷとん,座布団
ざんばらい,酒の席で最後まで残っていること
ざんばれえ,酒の席で最後まで残っていること
しいぎ,結婚式
しーしー,しながら
しおぴき,塩引き鮭
しよーぴき,塩引き鮭
しょーびき,塩引き鮭
しおびぎ,塩引き鮭
シガ,冬場に川の中に流れる氷
しくれ,日暮れ
しぐ,死ぬ
しこ,ひどい格好//身なり
しこたれ,ひどい格好//身なり
しじつ,手術
したっけれ,してそれで//そして
したっけ,してそれで//そして
したっき,してそれで//そして
したっきり,してそれで//そして
したっけな,してそれで//そして
